	PC1 75.9%	PC2 4.8%	PC3 2.8%	PC4 1.6%	PC5 1.3%	Sample	CDC42	Gradient
0	-19.804849562253686	1.5191577561474465	-0.5614859779221996	-3.205743001443083	0.36845289257490244	Cell_2	-1.2037483982922619	29min
1	21.54884512401464	-3.540672232383432	1.1548909337183964	-1.6272381854408422	-1.454251285873172	Cell_4	0.9242846041486165	29min
2	-19.150836620506574	0.36109352763676916	1.0247912199017788	-3.155056125268289	0.4747106850911076	Cell_5	-1.1560040010110497	29min
3	33.116421936584786	-5.764335996754584	2.0775445657121434	-0.5393611952524648	-1.951753093749501	Cell_6	1.770452515426954	29min
4	18.56635323409892	-3.8917853523204533	1.9266372025473095	-0.5019181566036359	-1.2032009098086813	Cell_7	0.758741291069082	29min
5	5.388527237265658	-0.6899742726548596	0.528464637844496	-2.9648661441876856	-0.46323323983101344	Cell_8	0.7385986807197117	29min
6	28.63915586057145	-4.083172870692582	4.944377167502969	1.0495689729307331	0.6485015275123712	Cell_9	2.4876297541846104	29min
7	11.249860249224689	-2.86265297774866	2.0309356169444914	-0.786401758127512	1.0083001935253808	Cell_10	0.20802096192140934	29min
8	9.059794974349298	-2.6947483398191387	1.447994042218398	-1.6379770867197472	-0.7569427553759966	Cell_11	-0.0031196811608014056	29min
9	11.457899423849803	-2.556201713755936	1.090248953560717	-1.6483383734738135	-1.2090407743170046	Cell_12	0.66454607308359	29min
10	-10.255733613247047	2.930606659087676	4.952848301571169	0.7682550519109673	12.448718024372921	Cell_13	-0.21652463029355007	29min
11	-17.973046248486433	1.5551619972822555	-0.3815483671818804	-2.679623878678787	-0.13986412119747693	Cell_14	-1.125236234807442	29min
12	6.906169852853756	0.3306855866673942	-3.5214371264695465	6.571683741122128	-1.5969954962873212	Cell_15	0.051816167704225785	29min
13	4.830643977620088	0.13843712310190437	-4.21732253523137	5.485936953636951	-1.6789192259561585	Cell_16	-0.06679226578331326	29min
14	12.362435151450516	-2.5524589639881237	0.7333883956511813	-1.8172999341852694	-1.1175605977417036	Cell_17	0.9234023031484297	29min
15	19.070314734842043	-3.9596509941359717	1.8043158514214068	-1.2939785367304675	-1.458399956176215	Cell_18	1.576684391349514	29min
16	-14.471695006160317	1.0457034141589314	-1.2047936753741872	-3.413732928013299	-0.18089052809951872	Cell_19	-0.755078861578074	29min
17	3.2759396537269074	-1.4966530849958475	0.6489017706845468	-2.185788451151396	-0.4071874612980576	Cell_20	-0.10759471015781685	29min
18	15.888494147766053	-3.481084186977567	0.6701057998333076	-1.363359044036379	-1.593269216420867	Cell_21	0.7640813910896577	29min
19	20.332296374548477	-2.5784560926049087	3.808915565900505	0.04087658492770896	1.665737841851389	Cell_22	0.8755796204228181	29min
